NAME,HOUSENUM,STREETNAME,ADDRESS,ZIP,CITY
Staten Island Children's Council Elc,120,STUYVESANT PLACE,120 STUYVESANT PLACE,10301,Staten Island
The Tanglewood School,15,TANGLEWOOD DRIVE,15 TANGLEWOOD DRIVE,10308,Staten Island
Builders For Family & Youth,288,BERRY STREET,288 BERRY STREET,11211,Brooklyn
Woodhull Medical&Mental Hlth Ctr.,760,BROADWAY,760 BROADWAY,11206,Brooklyn
The Salvation Army Bushwick Dcc,1151,BUSHWICK AVENUE,1151 BUSHWICK AVENUE,11221,Brooklyn
S.C.C. Playcare Center At Hillel,2901,CAMPUS ROAD,2901 CAMPUS ROAD,11210,Brooklyn
Bushwick United Hs,331,CENTRAL AVENUE,331 CENTRAL AVENUE,11221,Brooklyn
Kids On Fifth Inc Pre-Sch/Children's Workshop Of 5th Ave. Pre-Sch,295,5 AVENUE,295 5 AVENUE,11215,Brooklyn
Star America Inc.,880,60 STREET,880 60 STREET,11220,Brooklyn
Tie My Shoes Inc.,163-15,OAK AVENUE,163-15 OAK AVENUE,11358,Flushing
New Highland Elem Sch,193-10,PECK AVENUE,193-10 PECK AVENUE,11365,Fresh Meadows
Forest Hills Jewish Ctr,106-06,QUEENS BOULEVARD,106-06 QUEENS BOULEVARD,11375,Forest Hills
Human Resources Center Of St. Albans Hs,118-46,RIVERTON STREET,118-46 RIVERTON STREET,11412,Saint Albans
A Rum Nursery School,140-30,SANFORD AVENUE,140-30 SANFORD AVENUE,11355,Flushing
Lutheran School Of Flushing & Bayside,147-32,SANFORD AVENUE,147-32 SANFORD AVENUE,11355,Flushing
Dayton Towers West Playgroup,105-00,SHORE FRONT PARKWAY,105-00 SHORE FRONT PARKWAY,11694,Rockaway Park
Queens Village Day School Annex #2,96-07,SPRINGFIELD BOULEVARD,96-07 SPRINGFIELD BOULEVARD,11429,Queens Village
Tutor Time Learning Center Pre-School,25-56,ULMER STREET,25-56 ULMER STREET,11354,Flushing
Apple Montessori School Inc.,59-38,XENIA STREET,59-38 XENIA STREET,11368,Corona
Jewish Community Center Of Staten Island,1297,ARTHUR KILL ROAD,1297 ARTHUR KILL ROAD,10312,Staten Island
Friends Pre-School,610,BLOOMINGDALE ROAD,610 BLOOMINGDALE ROAD,10309,Staten Island
Mission For Today World Of Children,298,6 AVENUE,298 6 AVENUE,11215,Brooklyn
Early Sprouts,506,6 AVENUE,506 6 AVENUE,11215,Brooklyn
Avalon Academy Preparatory,695,6 AVENUE,695 6 AVENUE,11215,Brooklyn
Treasure Island,405,81 STREET,405 81 STREET,11209,Brooklyn
Prospect Park Ymca Ecc,357,9 STREET,357 9 STREET,11215,Brooklyn
196 Albany Avenue Dcc,196,ALBANY AVENUE,196 ALBANY AVENUE,11213,Brooklyn
Hyatt Nurturing Tree,9522,AVENUE A,9522 AVENUE A,11236,Brooklyn
Avenue B Christian Academy Infant,9214,AVENUE B,9214 AVENUE B,11236,Brooklyn
The Nursery Infant/Toddler Center,130,FT WASHINGTON AVENUE,130 FT WASHINGTON AVENUE,10032,New York
The Park Pre-Sch,275,GREENWICH STREET,275 GREENWICH STREET,10007,New York
Archdiocese St.Nicholas Tolentine Hs,2331,UNIVERSITY AVENUE,2331 UNIVERSITY AVENUE,10468,Bronx
Little Angels Hs,2331,UNIVERSITY AVENUE,2331 UNIVERSITY AVENUE,10468,Bronx
Yearling Nursery School,604,WEST 227 STREET,604 WEST 227 STREET,10463,Bronx
